     istep       time        |phi|^2       |apar|^2       |bpar|^2
      1780   1.7800E+001   7.0007E+000   0.0000E+000   0.0000E+000
      1800   1.8000E+001   7.2888E+000   0.0000E+000   0.0000E+000
      1820   1.8200E+001   7.5886E+000   0.0000E+000   0.0000E+000
      1840   1.8400E+001   7.9005E+000   0.0000E+000   0.0000E+000
      1860   1.8600E+001   8.2251E+000   0.0000E+000   0.0000E+000
      1880   1.8800E+001   8.5630E+000   0.0000E+000   0.0000E+000
      1900   1.9000E+001   8.9148E+000   0.0000E+000   0.0000E+000
      1920   1.9200E+001   9.2811E+000   0.0000E+000   0.0000E+000
      1940   1.9400E+001   9.6627E+000   0.0000E+000   0.0000E+000
      1960   1.9600E+001   1.0060E+001   0.0000E+000   0.0000E+000
      1980   1.9800E+001   1.0474E+001   0.0000E+000   0.0000E+000
      2000   2.0000E+001   1.0906E+001   0.0000E+000   0.0000E+000
      2020   2.0200E+001   1.1356E+001   0.0000E+000   0.0000E+000
      2040   2.0400E+001   1.1825E+001   0.0000E+000   0.0000E+000
      2060   2.0600E+001   1.2314E+001   0.0000E+000   0.0000E+000
      2080   2.0800E+001   1.2824E+001   0.0000E+000   0.0000E+000
      2100   2.1000E+001   1.3356E+001   0.0000E+000   0.0000E+000
      2120   2.1200E+001   1.3911E+001   0.0000E+000   0.0000E+000
      2140   2.1400E+001   1.4491E+001   0.0000E+000   0.0000E+000
      2160   2.1600E+001   1.5096E+001   0.0000E+000   0.0000E+000
      2180   2.1800E+001   1.5727E+001   0.0000E+000   0.0000E+000
      2200   2.2000E+001   1.6386E+001   0.0000E+000   0.0000E+000
      2220   2.2200E+001   1.7075E+001   0.0000E+000   0.0000E+000
      2240   2.2400E+001   1.7794E+001   0.0000E+000   0.0000E+000
      2260   2.2600E+001   1.8545E+001   0.0000E+000   0.0000E+000
      2280   2.2800E+001   1.9331E+001   0.0000E+000   0.0000E+000
      2300   2.3000E+001   2.0151E+001   0.0000E+000   0.0000E+000
      2320   2.3200E+001   2.1010E+001   0.0000E+000   0.0000E+000
      2340   2.3400E+001   2.1907E+001   0.0000E+000   0.0000E+000
      2360   2.3600E+001   2.2845E+001   0.0000E+000   0.0000E+000
      2380   2.3800E+001   2.3826E+001   0.0000E+000   0.0000E+000
      2400   2.4000E+001   2.4853E+001   0.0000E+000   0.0000E+000
      2420   2.4200E+001   2.5927E+001   0.0000E+000   0.0000E+000
      2440   2.4400E+001   2.7051E+001   0.0000E+000   0.0000E+000
      2460   2.4600E+001   2.8227E+001   0.0000E+000   0.0000E+000
      2480   2.4800E+001   2.9458E+001   0.0000E+000   0.0000E+000
      2500   2.5000E+001   3.0746E+001   0.0000E+000   0.0000E+000
      2520   2.5200E+001   3.2095E+001   0.0000E+000   0.0000E+000
      2540   2.5400E+001   3.3508E+001   0.0000E+000   0.0000E+000
      2560   2.5600E+001   3.4988E+001   0.0000E+000   0.0000E+000
      2580   2.5800E+001   3.6538E+001   0.0000E+000   0.0000E+000
      2600   2.6000E+001   3.8161E+001   0.0000E+000   0.0000E+000
      2620   2.6200E+001   3.9862E+001   0.0000E+000   0.0000E+000
      2640   2.6400E+001   4.1644E+001   0.0000E+000   0.0000E+000
      2660   2.6600E+001   4.3511E+001   0.0000E+000   0.0000E+000
      2680   2.6800E+001   4.5468E+001   0.0000E+000   0.0000E+000
      2700   2.7000E+001   4.7519E+001   0.0000E+000   0.0000E+000
      2720   2.7200E+001   4.9669E+001   0.0000E+000   0.0000E+000
      2740   2.7400E+001   5.1922E+001   0.0000E+000   0.0000E+000
      2760   2.7600E+001   5.4285E+001   0.0000E+000   0.0000E+000
      2780   2.7800E+001   5.6761E+001   0.0000E+000   0.0000E+000
      2800   2.8000E+001   5.9358E+001   0.0000E+000   0.0000E+000
      2820   2.8200E+001   6.2081E+001   0.0000E+000   0.0000E+000
      2840   2.8400E+001   6.4936E+001   0.0000E+000   0.0000E+000
      2860   2.8600E+001   6.7930E+001   0.0000E+000   0.0000E+000
      2880   2.8800E+001   7.1070E+001   0.0000E+000   0.0000E+000
      2900   2.9000E+001   7.4363E+001   0.0000E+000   0.0000E+000
      2920   2.9200E+001   7.7817E+001   0.0000E+000   0.0000E+000
      2940   2.9400E+001   8.1440E+001   0.0000E+000   0.0000E+000
      2960   2.9600E+001   8.5240E+001   0.0000E+000   0.0000E+000
      2980   2.9800E+001   8.9226E+001   0.0000E+000   0.0000E+000
      3000   3.0000E+001   9.3406E+001   0.0000E+000   0.0000E+000
      3020   3.0200E+001   9.7792E+001   0.0000E+000   0.0000E+000
      3040   3.0400E+001   1.0239E+002   0.0000E+000   0.0000E+000
      3060   3.0600E+001   1.0722E+002   0.0000E+000   0.0000E+000
      3080   3.0800E+001   1.1228E+002   0.0000E+000   0.0000E+000
      3100   3.1000E+001   1.1759E+002   0.0000E+000   0.0000E+000
      3120   3.1200E+001   1.2316E+002   0.0000E+000   0.0000E+000
      3140   3.1400E+001   1.2901E+002   0.0000E+000   0.0000E+000
      3160   3.1600E+001   1.3514E+002   0.0000E+000   0.0000E+000
      3180   3.1800E+001   1.4157E+002   0.0000E+000   0.0000E+000
      3200   3.2000E+001   1.4832E+002   0.0000E+000   0.0000E+000
      3220   3.2200E+001   1.5539E+002   0.0000E+000   0.0000E+000
      3240   3.2400E+001   1.6282E+002   0.0000E+000   0.0000E+000
      3260   3.2600E+001   1.7061E+002   0.0000E+000   0.0000E+000
      3280   3.2800E+001   1.7878E+002   0.0000E+000   0.0000E+000
      3300   3.3000E+001   1.8735E+002   0.0000E+000   0.0000E+000
      3320   3.3200E+001   1.9633E+002   0.0000E+000   0.0000E+000
      3340   3.3400E+001   2.0576E+002   0.0000E+000   0.0000E+000
      3360   3.3600E+001   2.1565E+002   0.0000E+000   0.0000E+000
      3380   3.3800E+001   2.2602E+002   0.0000E+000   0.0000E+000
      3400   3.4000E+001   2.3690E+002   0.0000E+000   0.0000E+000
      3420   3.4200E+001   2.4831E+002   0.0000E+000   0.0000E+000
      3440   3.4400E+001   2.6027E+002   0.0000E+000   0.0000E+000
      3460   3.4600E+001   2.7282E+002   0.0000E+000   0.0000E+000
      3480   3.4800E+001   2.8598E+002   0.0000E+000   0.0000E+000
      3500   3.5000E+001   2.9977E+002   0.0000E+000   0.0000E+000
      3520   3.5200E+001   3.1424E+002   0.0000E+000   0.0000E+000
      3540   3.5400E+001   3.2941E+002   0.0000E+000   0.0000E+000
      3560   3.5600E+001   3.4532E+002   0.0000E+000   0.0000E+000
      3580   3.5800E+001   3.6199E+002   0.0000E+000   0.0000E+000
      3600   3.6000E+001   3.7948E+002   0.0000E+000   0.0000E+000
      3620   3.6200E+001   3.9780E+002   0.0000E+000   0.0000E+000
      3640   3.6400E+001   4.1702E+002   0.0000E+000   0.0000E+000
      3660   3.6600E+001   4.3716E+002   0.0000E+000   0.0000E+000
      3680   3.6800E+001   4.5828E+002   0.0000E+000   0.0000E+000
      3700   3.7000E+001   4.8041E+002   0.0000E+000   0.0000E+000
      3720   3.7200E+001   5.0361E+002   0.0000E+000   0.0000E+000
      3740   3.7400E+001   5.2792E+002   0.0000E+000   0.0000E+000
      3760   3.7600E+001   5.5341E+002   0.0000E+000   0.0000E+000
      3780   3.7800E+001   5.8011E+002   0.0000E+000   0.0000E+000
      3800   3.8000E+001   6.0810E+002   0.0000E+000   0.0000E+000
      3820   3.8200E+001   6.3743E+002   0.0000E+000   0.0000E+000
      3840   3.8400E+001   6.6816E+002   0.0000E+000   0.0000E+000
      3860   3.8600E+001   7.0036E+002   0.0000E+000   0.0000E+000
      3880   3.8800E+001   7.3410E+002   0.0000E+000   0.0000E+000
      3900   3.9000E+001   7.6945E+002   0.0000E+000   0.0000E+000
      3920   3.9200E+001   8.0649E+002   0.0000E+000   0.0000E+000
      3940   3.9400E+001   8.4529E+002   0.0000E+000   0.0000E+000
      3960   3.9600E+001   8.8594E+002   0.0000E+000   0.0000E+000
      3980   3.9800E+001   9.2853E+002   0.0000E+000   0.0000E+000
      4000   4.0000E+001   9.7314E+002   0.0000E+000   0.0000E+000
      4020   4.0200E+001   1.0199E+003   0.0000E+000   0.0000E+000
      4040   4.0400E+001   1.0688E+003   0.0000E+000   0.0000E+000
      4060   4.0600E+001   1.1201E+003   0.0000E+000   0.0000E+000
      4080   4.0800E+001   1.1738E+003   0.0000E+000   0.0000E+000
      4100   4.1000E+001   1.2300E+003   0.0000E+000   0.0000E+000
      4120   4.1200E+001   1.2889E+003   0.0000E+000   0.0000E+000
      4140   4.1400E+001   1.3505E+003   0.0000E+000   0.0000E+000
      4160   4.1600E+001   1.4151E+003   0.0000E+000   0.0000E+000
      4180   4.1800E+001   1.4828E+003   0.0000E+000   0.0000E+000
      4200   4.2000E+001   1.5536E+003   0.0000E+000   0.0000E+000
      4220   4.2200E+001   1.6277E+003   0.0000E+000   0.0000E+000
      4240   4.2400E+001   1.7054E+003   0.0000E+000   0.0000E+000
      4260   4.2600E+001   1.7867E+003   0.0000E+000   0.0000E+000
      4280   4.2800E+001   1.8718E+003   0.0000E+000   0.0000E+000
      4300   4.3000E+001   1.9609E+003   0.0000E+000   0.0000E+000
      4320   4.3200E+001   2.0542E+003   0.0000E+000   0.0000E+000
      4340   4.3400E+001   2.1519E+003   0.0000E+000   0.0000E+000
      4360   4.3600E+001   2.2541E+003   0.0000E+000   0.0000E+000
      4380   4.3800E+001   2.3612E+003   0.0000E+000   0.0000E+000
      4400   4.4000E+001   2.4732E+003   0.0000E+000   0.0000E+000
      4420   4.4200E+001   2.5905E+003   0.0000E+000   0.0000E+000
      4440   4.4400E+001   2.7133E+003   0.0000E+000   0.0000E+000
      4460   4.4600E+001   2.8418E+003   0.0000E+000   0.0000E+000
      4480   4.4800E+001   2.9764E+003   0.0000E+000   0.0000E+000
      4500   4.5000E+001   3.1172E+003   0.0000E+000   0.0000E+000
      4520   4.5200E+001   3.2646E+003   0.0000E+000   0.0000E+000
      4540   4.5400E+001   3.4189E+003   0.0000E+000   0.0000E+000
      4560   4.5600E+001   3.5803E+003   0.0000E+000   0.0000E+000
      4580   4.5800E+001   3.7493E+003   0.0000E+000   0.0000E+000
      4600   4.6000E+001   3.9262E+003   0.0000E+000   0.0000E+000
      4620   4.6200E+001   4.1114E+003   0.0000E+000   0.0000E+000
      4640   4.6400E+001   4.3051E+003   0.0000E+000   0.0000E+000
      4660   4.6600E+001   4.5079E+003   0.0000E+000   0.0000E+000
      4680   4.6800E+001   4.7201E+003   0.0000E+000   0.0000E+000
      4700   4.7000E+001   4.9422E+003   0.0000E+000   0.0000E+000
      4720   4.7200E+001   5.1746E+003   0.0000E+000   0.0000E+000
      4740   4.7400E+001   5.4179E+003   0.0000E+000   0.0000E+000
      4760   4.7600E+001   5.6724E+003   0.0000E+000   0.0000E+000
      4780   4.7800E+001   5.9388E+003   0.0000E+000   0.0000E+000
      4800   4.8000E+001   6.2176E+003   0.0000E+000   0.0000E+000
      4820   4.8200E+001   6.5093E+003   0.0000E+000   0.0000E+000
      4840   4.8400E+001   6.8146E+003   0.0000E+000   0.0000E+000
      4860   4.8600E+001   7.1341E+003   0.0000E+000   0.0000E+000
      4880   4.8800E+001   7.4685E+003   0.0000E+000   0.0000E+000
      4900   4.9000E+001   7.8184E+003   0.0000E+000   0.0000E+000
      4920   4.9200E+001   8.1845E+003   0.0000E+000   0.0000E+000
      4940   4.9400E+001   8.5676E+003   0.0000E+000   0.0000E+000
      4960   4.9600E+001   8.9686E+003   0.0000E+000   0.0000E+000
      4980   4.9800E+001   9.3882E+003   0.0000E+000   0.0000E+000
      5000   5.0000E+001   9.8273E+003   0.0000E+000   0.0000E+000
      5020   5.0200E+001   1.0287E+004   0.0000E+000   0.0000E+000
      5040   5.0400E+001   1.0768E+004   0.0000E+000   0.0000E+000
      5060   5.0600E+001   1.1271E+004   0.0000E+000   0.0000E+000
      5080   5.0800E+001   1.1797E+004   0.0000E+000   0.0000E+000
      5100   5.1000E+001   1.2348E+004   0.0000E+000   0.0000E+000
      5120   5.1200E+001   1.2925E+004   0.0000E+000   0.0000E+000
      5140   5.1400E+001   1.3528E+004   0.0000E+000   0.0000E+000
      5160   5.1600E+001   1.4160E+004   0.0000E+000   0.0000E+000
      5180   5.1800E+001   1.4820E+004   0.0000E+000   0.0000E+000
      5200   5.2000E+001   1.5512E+004   0.0000E+000   0.0000E+000
      5220   5.2200E+001   1.6236E+004   0.0000E+000   0.0000E+000
      5240   5.2400E+001   1.6993E+004   0.0000E+000   0.0000E+000
      5260   5.2600E+001   1.7785E+004   0.0000E+000   0.0000E+000
      5280   5.2800E+001   1.8615E+004   0.0000E+000   0.0000E+000
      5300   5.3000E+001   1.9483E+004   0.0000E+000   0.0000E+000
      5320   5.3200E+001   2.0391E+004   0.0000E+000   0.0000E+000
      5340   5.3400E+001   2.1342E+004   0.0000E+000   0.0000E+000
      5360   5.3600E+001   2.2337E+004   0.0000E+000   0.0000E+000
      5380   5.3800E+001   2.3378E+004   0.0000E+000   0.0000E+000
      5400   5.4000E+001   2.4467E+004   0.0000E+000   0.0000E+000
      5420   5.4200E+001   2.5608E+004   0.0000E+000   0.0000E+000
      5440   5.4400E+001   2.6801E+004   0.0000E+000   0.0000E+000
      5460   5.4600E+001   2.8050E+004   0.0000E+000   0.0000E+000
      5480   5.4800E+001   2.9357E+004   0.0000E+000   0.0000E+000
      5500   5.5000E+001   3.0725E+004   0.0000E+000   0.0000E+000
      5520   5.5200E+001   3.2157E+004   0.0000E+000   0.0000E+000
      5540   5.5400E+001   3.3656E+004   0.0000E+000   0.0000E+000
      5560   5.5600E+001   3.5224E+004   0.0000E+000   0.0000E+000
      5580   5.5800E+001   3.6866E+004   0.0000E+000   0.0000E+000
      5600   5.6000E+001   3.8584E+004   0.0000E+000   0.0000E+000
      5620   5.6200E+001   4.0382E+004   0.0000E+000   0.0000E+000
      5640   5.6400E+001   4.2264E+004   0.0000E+000   0.0000E+000
      5660   5.6600E+001   4.4234E+004   0.0000E+000   0.0000E+000
      5680   5.6800E+001   4.6296E+004   0.0000E+000   0.0000E+000
      5700   5.7000E+001   4.8455E+004   0.0000E+000   0.0000E+000
      5720   5.7200E+001   5.0714E+004   0.0000E+000   0.0000E+000
      5740   5.7400E+001   5.3078E+004   0.0000E+000   0.0000E+000
