     istep       time        |phi|^2       |apar|^2       |bpar|^2
       900   9.0000E+001   4.5067E+000   0.0000E+000   0.0000E+000
       910   9.1000E+001   5.4393E+000   0.0000E+000   0.0000E+000
       920   9.2000E+001   6.5646E+000   0.0000E+000   0.0000E+000
       930   9.3000E+001   7.9224E+000   0.0000E+000   0.0000E+000
       940   9.4000E+001   9.5608E+000   0.0000E+000   0.0000E+000
       950   9.5000E+001   1.1538E+001   0.0000E+000   0.0000E+000
       960   9.6000E+001   1.3923E+001   0.0000E+000   0.0000E+000
       970   9.7000E+001   1.6800E+001   0.0000E+000   0.0000E+000
       980   9.8000E+001   2.0272E+001   0.0000E+000   0.0000E+000
       990   9.9000E+001   2.4460E+001   0.0000E+000   0.0000E+000
      1000   1.0000E+002   2.9513E+001   0.0000E+000   0.0000E+000
